"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$9736.7400 monthly","$5991.0151 monthly","$1063.6830 monthly"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB                 NVMe SSD","50 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5945.1200 monthly","$3745.4256 monthly","$1986.6220 monthly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","3500 Mbps","437.5 MB/s","16000 IOPS","3500 Mbps","437.5 MB/s","16000 IOPS","$911.0400 monthly","$625.6100 monthly","$327.2590 monthly"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3901.1200 monthly","$2404.0360 monthly","$624.4420 monthly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2691.0720 monthly","$1695.3520 monthly","$345.2170 monthly"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2691.0720 monthly","$1695.3520 monthly","$311.3450 monthly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$1794.0480 monthly","$1130.2590 monthly","$197.5380 monthly"
"G6 Graphics and Machine Learning GPU 12xlarge","g6.12xlarge","192.0 GiB","48 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","40 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3359.1680 monthly","$2186.8172 monthly","$814.9720 monthly"
"G6 Graphics and Machine Learning GPU 24xlarge","g6.24xlarge","384.0 GiB","96 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","50 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4872.8960 monthly","$3172.2588 monthly","$1672.3570 monthly"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","14000 Mbps","1750.0 MB/s","75000 IOPS","14000 Mbps","1750.0 MB/s","75000 IOPS","$9636.0000 monthly","$6515.2500 monthly","$1388.6790 monthly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$1002.2900 monthly","$650.4300 monthly","$380.4030 monthly"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$901.9296 monthly","$585.2994 monthly","$245.2800 monthly"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","8 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$531.1334 monthly","$340.6326 monthly","$80.0080 monthly"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","2500 Mbps","312.5 MB/s","10000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$420.6990 monthly","$286.9338 monthly","$122.8590 monthly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3363.8400 monthly","$2119.1900 monthly","$982.9450 monthly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3363.8400 monthly","$2119.1900 monthly","$516.6210 monthly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5045.7600 monthly","$3179.1500 monthly","$1324.7310 monthly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3959.5200 monthly","$2494.4100 monthly","$1525.1160 monthly"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$4765.4400 monthly","$3002.4900 monthly","$1734.9180 monthly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3959.5200 monthly","$2494.4100 monthly","$514.2120 monthly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","13570 Mbps","1696.25 MB/s","60000 IOPS","13570 Mbps","1696.25 MB/s","60000 IOPS","$4590.2400 monthly","$2891.5300 monthly","$1219.0270 monthly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5851.6800 monthly","$3686.5000 monthly","$1651.8440 monthly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","13750 Mbps","1718.75 MB/s","60000 IOPS","13750 Mbps","1718.75 MB/s","60000 IOPS","$3609.1200 monthly","$2273.9500 monthly","$1388.6790 monthly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5851.6800 monthly","$3686.5000 monthly","$727.1530 monthly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$4765.4400 monthly","$3002.4900 monthly","$722.9920 monthly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5045.7600 monthly","$3179.1500 monthly","$1457.6640 monthly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","3200 GB                 (4 * 800 GB SSD)","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$2489.3000 monthly","$1238.0800 monthly","$379.5270 monthly"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","37500 Mbps","4687.5 MB/s","150000 IOPS","37500 Mbps","4687.5 MB/s","150000 IOPS","$3423.2328 monthly","$2156.6390 monthly","$1414.0100 monthly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1766.0160 monthly","$1112.9580 monthly","$553.1940 monthly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2078.7480 monthly","$1309.6127 monthly","$367.5550 monthly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","60000 Mbps","7500.0 MB/s","195000 IOPS","60000 Mbps","7500.0 MB/s","195000 IOPS","$14605.1100 monthly","$8986.5263 monthly","$1512.2680 monthly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","14250 Mbps","1781.25 MB/s","50000 IOPS","14250 Mbps","1781.25 MB/s","50000 IOPS","$1583.8080 monthly","$997.7640 monthly","$409.6030 monthly"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","37500 Mbps","4687.5 MB/s","150000 IOPS","37500 Mbps","4687.5 MB/s","150000 IOPS","$2787.7824 monthly","$1756.2997 monthly","$856.4360 monthly"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1589.4290 monthly","$1001.6330 monthly","$248.8570 monthly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","60000 Mbps","7500.0 MB/s","260000 IOPS","60000 Mbps","7500.0 MB/s","260000 IOPS","$7302.5550 monthly","$4493.2595 monthly","$839.3540 monthly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2649.0240 monthly","$1664.8380 monthly","$818.6950 monthly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","14250 Mbps","1781.25 MB/s","50000 IOPS","14250 Mbps","1781.25 MB/s","50000 IOPS","$2018.3040 monthly","$1271.5140 monthly","$296.3070 monthly"
"R7GD 12xlarge","r7gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2384.1070 monthly","$1498.3250 monthly","$626.1210 monthly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","14250 Mbps","1781.25 MB/s","50000 IOPS","14250 Mbps","1781.25 MB/s","50000 IOPS","$1345.5360 monthly","$847.6760 monthly","$159.7970 monthly"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1870.8440 monthly","$1178.6580 monthly","$418.2170 monthly"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","14250 Mbps","1781.25 MB/s","60000 IOPS","14250 Mbps","1781.25 MB/s","60000 IOPS","$2925.8400 monthly","$1803.0270 monthly","$476.3980 monthly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","2500 GB                 NVMe SSD","Up to 25 Gigabit","1153 Mbps","144.2 MB/s","6000 IOPS","4750 Mbps","144.2 MB/s","20000 IOPS","$329.9600 monthly","$224.8400 monthly","$96.0680 monthly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2406.0800 monthly","$1515.4800 monthly","$949.7300 monthly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$3363.8400 monthly","$2119.1900 monthly","$986.9600 monthly"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$3176.9600 monthly","$2001.6600 monthly","$1008.4220 monthly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$3060.1600 monthly","$1927.9300 monthly","$847.3110 monthly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$2639.6800 monthly","$1662.9400 monthly","$821.7610 monthly"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$3901.1200 monthly","$2457.9100 monthly","$1102.0810 monthly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","20 Gigabit","6300 Mbps","787.5 MB/s","26700 IOPS","6300 Mbps","787.5 MB/s","26700 IOPS","$2008.9600 monthly","$1265.8200 monthly","$620.2810 monthly"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","25 Gigabit","6300 Mbps","787.5 MB/s","26667 IOPS","6300 Mbps","787.5 MB/s","26667 IOPS","$2531.6400 monthly","$1594.9332 monthly","$839.5000 monthly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","8 vCPUs","2000 GB                 HDD","Up to 10 Gigabit","1750 Mbps","218.75 MB/s","12000 IOPS","1750 Mbps","218.75 MB/s","12000 IOPS","$341.6400 monthly","$232.1400 monthly","$138.4080 monthly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$9741.1200 monthly","$6002.7900 monthly","$1130.9160 monthly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$4868.3700 monthly","$3000.3000 monthly","$708.7570 monthly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1766.0160 monthly","$1109.8920 monthly","$531.2210 monthly"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","25000 Mbps","3125.0 MB/s","100000 IOPS","$2282.1552 monthly","$1437.7569 monthly","$664.7380 monthly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","40000 Mbps","5000.0 MB/s","130000 IOPS","40000 Mbps","5000.0 MB/s","130000 IOPS","$9736.7400 monthly","$5991.0151 monthly","$1357.5080 monthly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1385.8320 monthly","$873.0727 monthly","$466.5430 monthly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","1900 GB                 NVMe SSD","Up to 10 Gigabit","1700 Mbps","212.5 MB/s","12000 IOPS","1700 Mbps","212.5 MB/s","12000 IOPS","$455.5200 monthly","$312.4400 monthly","$193.1580 monthly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","40000 Mbps","5000.0 MB/s","173333 IOPS","40000 Mbps","5000.0 MB/s","173333 IOPS","$4868.3700 monthly","$2995.5112 monthly","$1412.8420 monthly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1177.3440 monthly","$741.9720 monthly","$359.0870 monthly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","25 Gigabit","16000 Mbps","2000.0 MB/s","65000 IOPS","16000 Mbps","2000.0 MB/s","65000 IOPS","$2990.0800 monthly","$1883.7504 monthly","$991.4130 monthly"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1345.5360 monthly","$847.6760 monthly","$372.4460 monthly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1055.8720 monthly","$665.1760 monthly","$300.7600 monthly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$897.0240 monthly","$565.0930 monthly","$183.0110 monthly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","25000 Mbps","3125.0 MB/s","100000 IOPS","$1858.5216 monthly","$1170.8689 monthly","$631.0850 monthly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1950.5600 monthly","$1202.0180 monthly","$297.1100 monthly"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1589.4290 monthly","$998.9320 monthly","$458.9510 monthly"
"G6E 16xlarge","g6e.16xlarge","512.0 GiB","64 vCPUs","1900 GB                 (2 * 950 GB NVMe SSD)","35 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$5531.3487 monthly","$3484.7499 monthly","$1556.2870 monthly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1247.2780 monthly","$785.7720 monthly","$348.0640 monthly"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1059.5950 monthly","$667.8040 monthly","$307.5490 monthly"
"G6 Graphics and Machine Learning GPU 16xlarge","g6.16xlarge","256.0 GiB","64 vCPUs","1880 GB                 (2 * 940 GB NVMe SSD)","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2479.6640 monthly","$1614.2636 monthly","$916.8800 monthly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","2500 Mbps","312.5 MB/s","10000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$500.7800 monthly","$324.8500 monthly","$175.4920 monthly"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","4 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","2500 Mbps","312.5 MB/s","10000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$265.5667 monthly","$170.3163 monthly","$47.0850 monthly"
"I4G Double Extra Large","i4g.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","2500 Mbps","312.5 MB/s","10000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$450.9648 monthly","$292.6497 monthly","$102.3460 monthly"
"IS4GEN Large","is4gen.large","12.0 GiB","2 vCPUs","1875 GB                 NVMe SSD","Up to 25 Gigabit","1250 Mbps","156.25 MB/s","5000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$210.3495 monthly","$143.4669 monthly","$31.3170 monthly"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2382.7200 monthly","$1500.8800 monthly","$849.3550 monthly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2522.8800 monthly","$1589.2100 monthly","$662.2560 monthly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3258.7200 monthly","$2052.7600 monthly","$1044.7760 monthly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2522.8800 monthly","$1589.2100 monthly","$623.6390 monthly"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2925.8400 monthly","$1843.2500 monthly","$991.1940 monthly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1979.7600 monthly","$1247.5700 monthly","$599.0380 monthly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$1681.9200 monthly","$1059.9600 monthly","$521.2930 monthly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1506.7200 monthly","$949.0000 monthly","$512.6790 monthly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$5711.5200 monthly","$3598.1700 monthly","$2650.3380 monthly"
